Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Africa Eastern and Southern,AFE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.47,0.0,0.0,9.7,10.92,10.39,12.42,12.43,12.89,15.34,14.58,16.22,19.4,18.66,17.63,16.46,24.53,25.35,27.45,29.64,30.4,0.0
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0,0.0,0.0,0.0,3.24,11.11,15.77,22.06,27.95,34.75,30.22,29.57,60.85,60.57,86.5,64.57,97.1,97.09,95.59,97.08,97.07,0.0
Africa Western and Central,AFW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,16.53,16.09,15.77,21.44,16.74,17.6,17.86,17.74,19.52,18.77,20.53,22.34,19.82,23.29,22.55,22.78,27.38,0.0,0.0,0.0,25.47,0.0
Angola,AGO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.54,9.48,2.92,2.46,1.89,1.19,0.85,0.0,6.61,0.0,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,7.33,0.0,0.0,0.0
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Andorra,AND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Arab World,ARB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,68.17,70.47,70.03,71.83,68.2,69.63,73.45,69.84,69.62,70.63,75.41,75.56,75.38,79.58,77.67,78.95,79.79,82.37,82.97,83.74,81.66,0.0
United Arab Emirates,ARE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,90.1,86.08,91.37,91.9,92.3,92.53,92.56,92.44,92.23,92.03,96.13,95.85,94.69,94.69,100.0,97.09,98.84,100.0,99.87,100.0,100.0,0.0
Armenia,ARM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.53,100.0,95.7,99.07,99.09,99.62,99.02,98.95,98.86,98.79,99.97,99.55,99.35,99.44,99.8,100.0,99.8,99.53,99.9,100.0,100.0,0.0
American Samoa,ASM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,96.6,96.76,100.0,97.08,97.24,100.0,100.0,100.0,100.0,97.94,98.11,92.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Australia,AUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Austria,AUT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Azerbaijan,AZE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.07,97.62,100.0,98.25,98.54,98.81,99.17,99.3,99.54,99.8,99.92,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Burundi,BDI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,1.0,0.98,1.74,2.38,1.66,3.31,3.45,3.48,0.0
Belgium,BEL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Benin,BEN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.41,4.45,6.9,7.52,8.12,8.7,7.92,9.8,10.34,10.88,10.57,13.62,14.55,13.43,16.23,11.07,15.29,17.19,16.75,17.48,18.2,0.0
Burkina Faso,BFA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.28,2.26,2.19,1.15,1.93,1.74,1.51,1.34,1.22,2.55,1.53,1.92,1.53,1.08,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,BGD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,16.81,21.52,24.43,27.35,27.88,30.17,40.17,32.49,42.3,45.4,40.0,45.71,54.65,48.59,48.12,65.22,66.14,81.57,89.08,88.85,95.21,0.0
Bulgaria,BGR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Bahrain,BHR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
"Bahamas, The",BHS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Bosnia and Herzegovina,BIH,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Belarus,BLR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Belize,BLZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,65.7,67.39,68.86,70.31,71.74,73.16,85.13,75.95,77.34,78.74,84.07,87.86,85.86,86.07,86.25,87.56,89.39,91.02,86.51,87.84,96.07,0.0
Bermuda,BMU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Bolivia,BOL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,28.17,28.01,22.53,34.96,40.49,29.55,41.57,46.54,57.0,63.28,66.27,66.65,72.17,68.52,70.29,74.34,74.87,74.82,77.59,84.92,91.81,0.0
Brazil,BRA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,74.4,81.88,84.12,85.32,83.45,84.83,87.17,89.78,91.85,93.62,92.14,96.19,97.22,97.5,97.91,98.23,98.47,99.17,98.41,98.48,100.0,0.0
Barbados,BRB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Brunei Darussalam,BRN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Bhutan,BTN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.8,19.5,23.72,18.45,32.43,43.23,41.99,58.85,52.3,57.63,59.4,72.04,86.87,80.35,86.59,92.92,99.42,96.76,99.96,100.0,100.0,0.0
Botswana,BWA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,11.97,10.44,6.41,16.46,17.96,19.42,20.83,21.31,21.63,16.22,25.28,25.16,25.39,26.0,26.82,26.45,28.64,30.96,28.75,27.13,26.38,0.0
Central African Republic,CAF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0,0.83,0.97,1.09,1.2,1.29,0.0,1.4,4.74,1.48,0.0,0.0,0.0,0.63,0.98,1.44,1.96,2.38,2.53,1.53,2.25,0.0
Canada,CAN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Central Europe and the Baltics,CEB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Switzerland,CHE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Channel Islands,CHI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Chile,CHL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,86.55,81.99,83.14,92.77,85.7,86.81,96.42,88.67,89.52,97.75,98.26,97.77,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
China,CHN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.36,95.79,96.11,96.44,96.77,97.11,97.44,97.78,98.13,98.53,99.41,99.7,99.92,99.99,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Cote d'Ivoire,CIV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,23.75,24.58,26.81,26.22,27.03,36.19,34.08,29.35,35.56,30.89,31.69,26.28,25.78,34.32,34.28,39.23,36.73,38.28,40.27,41.79,43.14,0.0
Cameroon,CMR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,9.22,13.86,13.77,14.37,19.47,15.5,25.81,6.43,17.02,17.52,15.91,16.84,17.91,19.2,18.8,21.1,21.83,22.6,26.28,24.18,24.98,0.0
"Congo, Dem. Rep.",COD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
