Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.66,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,19.81,19.9,21.53,22.47,23.78,23.49,24.76,26.77,25.93,26.18,27.56,29.09,31.84,31.79,32.0,33.87,38.88,40.26,43.06,44.27,45.8,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.61,4.07,9.41,14.74,20.06,25.39,30.72,36.05,42.4,46.74,42.7,43.22,69.1,68.29,89.5,71.5,97.7,97.7,96.62,97.7,97.7,0.0
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,34.15,35.27,35.76,39.88,37.55,37.85,39.84,40.79,41.74,41.82,41.8,45.91,44.17,47.05,47.6,46.77,50.95,48.86,51.26,51.29,52.11,0.0
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.21,20.0,26.35,27.41,28.47,29.53,30.59,37.5,38.49,33.8,34.9,34.6,37.13,38.28,32.0,42.0,41.81,43.01,45.29,45.64,46.89,0.0
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,99.95,99.98,99.89,99.89,100.0,100.0,100.0,0.0
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.74,81.59,81.54,82.51,82.5,83.21,85.46,83.76,83.39,84.31,87.11,87.33,87.04,88.99,88.02,88.68,89.2,90.32,88.91,90.0,90.28,0.0
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.78,95.51,96.23,96.44,96.65,96.86,97.08,97.29,97.52,97.75,98.82,99.1,99.23,99.34,100.0,99.63,99.85,100.0,99.99,100.0,100.0,0.0
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9,100.0,98.0,99.19,99.19,99.8,99.19,99.19,99.21,99.23,99.8,99.61,99.63,99.42,99.71,100.0,99.8,99.7,99.9,100.0,100.0,0.0
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.69,97.79,100.0,97.96,98.04,92.2,100.0,100.0,100.0,98.48,98.6,94.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.91,98.62,100.0,98.93,99.07,99.22,99.5,99.52,99.68,99.85,99.94,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
