Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.89,8.91,7.82,9.07,10.81,9.63,9.77,9.74,10.29,11.26,10.96,10.53,10.28,10.39,10.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,28.78,28.88,29.25,28.91,27.54,23.12,26.07,15.65,16.28,14.38,18.73,15.59,14.94,18.2,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.6,14.53,14.62,12.93,26.43,23.76,11.8,13.4,10.01,10.01,11.51,11.27,11.27,11.27,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,27.25,36.09,27.5,28.89,11.45,11.54,45.06,72.9,38.53,23.59,12.66,24.93,23.68,27.99,23.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,ARB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.42,11.07,10.57,9.43,10.52,12.19,11.38,12.36,13.75,13.99,13.03,12.75,14.17,13.73,14.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,ARE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,3.38,7.18,7.18,7.17,7.18,7.17,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.83,14.26,17.17,15.27,15.42,15.13,15.12,16.72,13.38,14.75,13.43,14.43,13.6,16.02,14.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,ARM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,25.38,26.14,25.62,22.54,15.85,15.85,13.11,13.14,15.46,14.87,11.25,12.17,12.21,12.31,11.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,ASM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,AUS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,7.14,8.09,6.62,6.58,7.6,6.72,6.75,6.02,6.09,5.91,6.48,6.52,5.8,5.34,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,AUT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,5.34,6.04,5.22,5.67,5.53,5.33,5.1,5.22,5.0,5.4,4.93,5.31,4.89,5.25,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,AZE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.81,13.49,20.5,20.88,19.1,17.62,15.38,15.71,14.61,21.73,20.47,19.58,14.65,14.05,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,BDI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,BEL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,4.58,4.94,4.66,4.5,4.8,4.85,4.95,4.64,5.1,4.53,4.56,4.67,5.06,4.88,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,BEN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,70.24,0.0,0.0,0.0,0.0,0.0,81.82,56.82,61.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,BFA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,BGD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.33,13.87,12.71,11.52,8.26,7.43,6.02,5.17,12.48,11.27,10.54,10.19,11.85,13.16,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,BGR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.48,14.09,14.66,14.24,12.29,11.1,10.78,10.93,10.47,10.65,9.74,8.79,9.08,9.04,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,BHR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,4.02,3.94,3.56,1.93,2.46,2.12,2.05,1.88,8.49,9.03,6.77,6.42,5.72,5.21,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bahamas, The",BHS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BIH,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,16.77,16.74,16.75,17.13,16.05,17.67,16.7,18.82,13.26,11.97,9.36,10.14,10.62,8.3,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,BLR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.06,13.79,12.88,12.96,11.46,11.74,12.07,11.7,10.6,11.48,10.82,10.6,11.06,10.61,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,BLZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,BMU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,BOL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.18,10.4,10.37,10.32,10.35,10.13,10.13,10.2,11.79,11.73,11.55,11.02,11.34,9.03,9.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,17.66,17.24,16.74,16.27,16.75,16.59,16.82,16.14,16.65,17.19,16.63,16.46,17.08,16.63,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,BRB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,BRN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1.14,5.31,5.33,5.33,5.33,5.33,5.34,4.86,4.79,6.04,9.7,7.17,6.18,9.29,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,BTN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,BWA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,18.33,17.71,18.76,27.35,28.34,29.94,29.5,41.43,46.92,61.35,62.59,0.0,0.0,36.84,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,CAF,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,CAN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,7.81,7.52,8.21,6.5,6.29,8.31,8.53,7.47,8.35,8.71,8.56,8.8,8.44,8.47,8.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Europe and the Baltics,CEB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.65,10.28,10.01,9.54,9.18,9.12,8.75,8.88,8.31,8.48,8.15,7.55,7.82,7.51,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,CHE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.18,5.91,6.35,6.41,6.65,7.32,6.75,6.35,6.38,6.28,6.62,7.13,6.72,6.81,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
