Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2.02,1.78,1.6,1.68,2.03,2.08,2.25,2.56,2.72,2.81,1.94,2.26,2.8,3.12,3.19,3.33,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa Western and Central,AFW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,5.28,5.54,4.62,4.98,4.96,5.93,6.38,8.11,7.79,8.31,7.13,6.63,6.95,6.89,7.43,7.82,0.0,0.0,0.0,0.0,0.0,0.0
Angola,AGO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,36.89,37.91,35.24,37.79,21.59,20.35,19.39,22.38,24.59,34.66,32.04,29.09,39.2,41.98,46.82,46.83,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.85,4.69,6.05,2.14,2.5,1.29,1.68,2.52,0.0,0.02,0.01,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,ARB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,34.41,31.89,33.08,32.5,31.52,27.41,26.43,26.88,27.08,24.26,22.77,22.89,24.09,22.73,23.09,20.44,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,ARE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.09,2.8,2.76,2.74,2.34,2.14,2.03,1.86,1.71,1.59,1.48,1.4,1.38,1.31,1.26,1.24,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.24,1.11,0.9,1.1,4.03,5.45,7.52,10.21,11.82,11.71,13.3,15.12,14.79,14.27,13.84,15.42,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,ARM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
