Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa Eastern and Southern,AFE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,1301000000.0,1390000000.0,1220000000.0,1624000000.0,1902000000.0,1866000000.0,1972000000.0,1972000000.0,2188000000.0,2463000000.0,2692000000.0,2762000000.0,3058000000.0,3669000000.0,7687000000.0,10926000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa Western and Central,AFW,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,60000000.0,70000000.0,78000000.0,66000000.0,162000000.0,177000000.0,827000000.0,254000000.0,254000000.0,213000000.0,222000000.0,219000000.0,196000000.0,222000000.0,233000000.0,280000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,AGO,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,ARB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,227000000.0,459000000.0,436000000.0,613000000.0,775000000.0,808000000.0,846000000.0,1166000000.0,1262000000.0,1631000000.0,2515000000.0,2561000000.0,2436000000.0,3534000000.0,4457000000.0,5117000000.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,ARE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,301000000.0,296000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,708000000.0,672000000.0,941000000.0,1114000000.0,1247000000.0,1362000000.0,1728000000.0,1688000000.0,1618000000.0,1402000000.0,2220000000.0,2155000000.0,2752000000.0,2942000000.0,2719000000.0,2752000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,ARM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,2000000.0,4000000.0,7000000.0,3000000.0,4000000.0,4000000.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0
