Country Name,Country Code,Source,Year,Production
Aruba,ABW,Nuclear,2000,0.0
Africa Eastern and Southern,AFE,Nuclear,2000,4.68
Afghanistan,AFG,Nuclear,2000,0.0
Africa Western and Central,AFW,Nuclear,2000,0.0
Angola,AGO,Nuclear,2000,0.0
Albania,ALB,Nuclear,2000,0.0
Andorra,AND,Nuclear,2000,0.0
Arab World,ARB,Nuclear,2000,0.0
United Arab Emirates,ARE,Nuclear,2000,0.0
Argentina,ARG,Nuclear,2000,6.95
Armenia,ARM,Nuclear,2000,33.65
American Samoa,ASM,Nuclear,2000,0.0
Antigua and Barbuda,ATG,Nuclear,2000,0.0
Australia,AUS,Nuclear,2000,0.0
Austria,AUT,Nuclear,2000,0.0
Azerbaijan,AZE,Nuclear,2000,0.0
Burundi,BDI,Nuclear,2000,0.0
Belgium,BEL,Nuclear,2000,58.18
Benin,BEN,Nuclear,2000,0.0
Burkina Faso,BFA,Nuclear,2000,0.0
Bangladesh,BGD,Nuclear,2000,0.0
Bulgaria,BGR,Nuclear,2000,44.72
Bahrain,BHR,Nuclear,2000,0.0
"Bahamas, The",BHS,Nuclear,2000,0.0
Bosnia and Herzegovina,BIH,Nuclear,2000,0.0
Belarus,BLR,Nuclear,2000,0.0
Belize,BLZ,Nuclear,2000,0.0
Bermuda,BMU,Nuclear,2000,0.0
Bolivia,BOL,Nuclear,2000,0.0
Brazil,BRA,Nuclear,2000,1.73
Barbados,BRB,Nuclear,2000,0.0
Brunei Darussalam,BRN,Nuclear,2000,0.0
Bhutan,BTN,Nuclear,2000,0.0
Botswana,BWA,Nuclear,2000,0.0
Central African Republic,CAF,Nuclear,2000,0.0
Canada,CAN,Nuclear,2000,12.02
Central Europe and the Baltics,CEB,Nuclear,2000,19.15
Switzerland,CHE,Nuclear,2000,39.99
Channel Islands,CHI,Nuclear,2000,0.0
Chile,CHL,Nuclear,2000,0.0
China,CHN,Nuclear,2000,1.23
Cote d'Ivoire,CIV,Nuclear,2000,0.0
Cameroon,CMR,Nuclear,2000,0.0
"Congo, Dem. Rep.",COD,Nuclear,2000,0.0
"Congo, Rep.",COG,Nuclear,2000,0.0
Colombia,COL,Nuclear,2000,0.0
Comoros,COM,Nuclear,2000,0.0
Cabo Verde,CPV,Nuclear,2000,0.0
Costa Rica,CRI,Nuclear,2000,0.0
Caribbean small states,CSS,Nuclear,2000,0.0
Cuba,CUB,Nuclear,2000,0.0
Curacao,CUW,Nuclear,2000,0.0
Cayman Islands,CYM,Nuclear,2000,0.0
Cyprus,CYP,Nuclear,2000,0.0
Czech Republic,CZE,Nuclear,2000,18.64
Germany,DEU,Nuclear,2000,29.64
Djibouti,DJI,Nuclear,2000,0.0
Dominica,DMA,Nuclear,2000,0.0
Denmark,DNK,Nuclear,2000,0.0
Dominican Republic,DOM,Nuclear,2000,0.0
Algeria,DZA,Nuclear,2000,0.0
East Asia & Pacific (excluding high income),EAP,Nuclear,2000,0.97
Early-demographic dividend,EAR,Nuclear,2000,2.1
East Asia & Pacific,EAS,Nuclear,2000,13.5
Europe & Central Asia (excluding high income),ECA,Nuclear,2000,15.46
Europe & Central Asia,ECS,Nuclear,2000,25.33
Ecuador,ECU,Nuclear,2000,0.0
"Egypt, Arab Rep.",EGY,Nuclear,2000,0.0
Euro area,EMU,Nuclear,2000,35.86
Eritrea,ERI,Nuclear,2000,0.0
Spain,ESP,Nuclear,2000,28.16
Estonia,EST,Nuclear,2000,0.0
Ethiopia,ETH,Nuclear,2000,0.0
European Union,EUU,Nuclear,2000,32.68
Fragile and conflict affected situations,FCS,Nuclear,2000,0.75
Finland,FIN,Nuclear,2000,32.12
Fiji,FJI,Nuclear,2000,0.0
France,FRA,Nuclear,2000,77.57
Faroe Islands,FRO,Nuclear,2000,0.0
"Micronesia, Fed. Sts.",FSM,Nuclear,2000,0.0
Gabon,GAB,Nuclear,2000,0.0
United Kingdom,GBR,Nuclear,2000,22.72
Georgia,GEO,Nuclear,2000,0.0
Ghana,GHA,Nuclear,2000,0.0
Gibraltar,GIB,Nuclear,2000,0.0
Guinea,GIN,Nuclear,2000,0.0
"Gambia, The",GMB,Nuclear,2000,0.0
Guinea-Bissau,GNB,Nuclear,2000,0.0
Equatorial Guinea,GNQ,Nuclear,2000,0.0
Greece,GRC,Nuclear,2000,0.0
Grenada,GRD,Nuclear,2000,0.0
Greenland,GRL,Nuclear,2000,0.0
Guatemala,GTM,Nuclear,2000,0.0
Guam,GUM,Nuclear,2000,0.0
Guyana,GUY,Nuclear,2000,0.0
High income,HIC,Nuclear,2000,22.8
"Hong Kong SAR, China",HKG,Nuclear,2000,0.0
Honduras,HND,Nuclear,2000,0.0
Heavily indebted poor countries (HIPC),HPC,Nuclear,2000,0.0
Croatia,HRV,Nuclear,2000,0.0
Haiti,HTI,Nuclear,2000,0.0
Hungary,HUN,Nuclear,2000,40.29
IBRD only,IBD,Nuclear,2000,5.62
IDA & IBRD total,IBT,Nuclear,2000,5.33
IDA total,IDA,Nuclear,2000,0.64
IDA blend,IDB,Nuclear,2000,1.33
Indonesia,IDN,Nuclear,2000,0.0
IDA only,IDX,Nuclear,2000,0.0
Isle of Man,IMN,Nuclear,2000,0.0
India,IND,Nuclear,2000,2.97
Not classified,INX,Nuclear,2000,0.0
Ireland,IRL,Nuclear,2000,0.0
"Iran, Islamic Rep.",IRN,Nuclear,2000,0.0
Iraq,IRQ,Nuclear,2000,0.0
Iceland,ISL,Nuclear,2000,0.0
Israel,ISR,Nuclear,2000,0.0
Italy,ITA,Nuclear,2000,0.0
Jamaica,JAM,Nuclear,2000,0.0
Jordan,JOR,Nuclear,2000,0.0
Japan,JPN,Nuclear,2000,29.6
Kazakhstan,KAZ,Nuclear,2000,0.0
Kenya,KEN,Nuclear,2000,0.0
Kyrgyz Republic,KGZ,Nuclear,2000,0.0
Cambodia,KHM,Nuclear,2000,0.0
Kiribati,KIR,Nuclear,2000,0.0
St. Kitts and Nevis,KNA,Nuclear,2000,0.0
"Korea, Rep.",KOR,Nuclear,2000,37.77
Kuwait,KWT,Nuclear,2000,0.0
Latin America & Caribbean (excluding high income),LAC,Nuclear,2000,2.45
Lao PDR,LAO,Nuclear,2000,0.0
Lebanon,LBN,Nuclear,2000,0.0
Liberia,LBR,Nuclear,2000,0.0
Libya,LBY,Nuclear,2000,0.0
St. Lucia,LCA,Nuclear,2000,0.0
Latin America & Caribbean,LCN,Nuclear,2000,2.05
Least developed countries: UN classification,LDC,Nuclear,2000,0.0
Low income,LIC,Nuclear,2000,0.0
Liechtenstein,LIE,Nuclear,2000,0.0
Sri Lanka,LKA,Nuclear,2000,0.0
Lower middle income,LMC,Nuclear,2000,6.78
Low & middle income,LMY,Nuclear,2000,5.54
Lesotho,LSO,Nuclear,2000,0.0
Late-demographic dividend,LTE,Nuclear,2000,5.09
Lithuania,LTU,Nuclear,2000,75.7
Luxembourg,LUX,Nuclear,2000,0.0
Latvia,LVA,Nuclear,2000,0.0
"Macao SAR, China",MAC,Nuclear,2000,0.0
St. Martin (French part),MAF,Nuclear,2000,0.0
Morocco,MAR,Nuclear,2000,0.0
Monaco,MCO,Nuclear,2000,0.0
Moldova,MDA,Nuclear,2000,0.0
Madagascar,MDG,Nuclear,2000,0.0
Maldives,MDV,Nuclear,2000,0.0
Middle East & North Africa,MEA,Nuclear,2000,0.0
Mexico,MEX,Nuclear,2000,4.0
Marshall Islands,MHL,Nuclear,2000,0.0
Middle income,MIC,Nuclear,2000,5.65
North Macedonia,MKD,Nuclear,2000,0.0
Mali,MLI,Nuclear,2000,0.0
Malta,MLT,Nuclear,2000,0.0
Myanmar,MMR,Nuclear,2000,0.0
Middle East & North Africa (excluding high income),MNA,Nuclear,2000,0.0
Montenegro,MNE,Nuclear,2000,0.0
Mongolia,MNG,Nuclear,2000,0.0
Northern Mariana Islands,MNP,Nuclear,2000,0.0
Mozambique,MOZ,Nuclear,2000,0.0
Mauritania,MRT,Nuclear,2000,0.0
Mauritius,MUS,Nuclear,2000,0.0
Malawi,MWI,Nuclear,2000,0.0
Malaysia,MYS,Nuclear,2000,0.0
North America,NAC,Nuclear,2000,18.79
Namibia,NAM,Nuclear,2000,0.0
New Caledonia,NCL,Nuclear,2000,0.0
Niger,NER,Nuclear,2000,0.0
Nigeria,NGA,Nuclear,2000,0.0
Nicaragua,NIC,Nuclear,2000,0.0
Netherlands,NLD,Nuclear,2000,4.38
Norway,NOR,Nuclear,2000,0.0
Nepal,NPL,Nuclear,2000,0.0
Nauru,NRU,Nuclear,2000,0.0
New Zealand,NZL,Nuclear,2000,0.0
OECD members,OED,Nuclear,2000,22.96
Oman,OMN,Nuclear,2000,0.0
Other small states,OSS,Nuclear,2000,0.0
Pakistan,PAK,Nuclear,2000,2.93
Panama,PAN,Nuclear,2000,0.0
Peru,PER,Nuclear,2000,0.0
Philippines,PHL,Nuclear,2000,0.0
Palau,PLW,Nuclear,2000,0.0
Papua New Guinea,PNG,Nuclear,2000,0.0
Poland,POL,Nuclear,2000,0.0
Pre-demographic dividend,PRE,Nuclear,2000,0.0
Puerto Rico,PRI,Nuclear,2000,0.0
"Korea, Dem. People's Rep.",PRK,Nuclear,2000,0.0
Portugal,PRT,Nuclear,2000,0.0
Paraguay,PRY,Nuclear,2000,0.0
West Bank and Gaza,PSE,Nuclear,2000,0.0
Pacific island small states,PSS,Nuclear,2000,0.0
Post-demographic dividend,PST,Nuclear,2000,24.51
French Polynesia,PYF,Nuclear,2000,0.0
Qatar,QAT,Nuclear,2000,0.0
Romania,ROU,Nuclear,2000,10.51
Russian Federation,RUS,Nuclear,2000,14.91
Rwanda,RWA,Nuclear,2000,0.0
South Asia,SAS,Nuclear,2000,2.83
Saudi Arabia,SAU,Nuclear,2000,0.0
Sudan,SDN,Nuclear,2000,0.0
Senegal,SEN,Nuclear,2000,0.0
Singapore,SGP,Nuclear,2000,0.0
Solomon Islands,SLB,Nuclear,2000,0.0
Sierra Leone,SLE,Nuclear,2000,0.0
El Salvador,SLV,Nuclear,2000,0.0
San Marino,SMR,Nuclear,2000,0.0
Somalia,SOM,Nuclear,2000,0.0
Serbia,SRB,Nuclear,2000,0.0
Sub-Saharan Africa (excluding high income),SSA,Nuclear,2000,4.1
South Sudan,SSD,Nuclear,2000,0.0
Sub-Saharan Africa,SSF,Nuclear,2000,4.09
Small states,SST,Nuclear,2000,0.0
Sao Tome and Principe,STP,Nuclear,2000,0.0
Suriname,SUR,Nuclear,2000,0.0
Slovak Republic,SVK,Nuclear,2000,53.56
Slovenia,SVN,Nuclear,2000,34.95
Sweden,SWE,Nuclear,2000,39.47
Eswatini,SWZ,Nuclear,2000,0.0
Sint Maarten (Dutch part),SXM,Nuclear,2000,0.0
Seychelles,SYC,Nuclear,2000,0.0
Syrian Arab Republic,SYR,Nuclear,2000,0.0
Turks and Caicos Islands,TCA,Nuclear,2000,0.0
Chad,TCD,Nuclear,2000,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,Nuclear,2000,0.98
Europe & Central Asia (IDA & IBRD countries),TEC,Nuclear,2000,13.89
Togo,TGO,Nuclear,2000,0.0
Thailand,THA,Nuclear,2000,0.0
Tajikistan,TJK,Nuclear,2000,0.0
Turkmenistan,TKM,Nuclear,2000,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Nuclear,2000,2.12
Timor-Leste,TLS,Nuclear,2000,0.0
Middle East & North Africa (IDA & IBRD countries),TMN,Nuclear,2000,0.0
Tonga,TON,Nuclear,2000,0.0
South Asia (IDA & IBRD),TSA,Nuclear,2000,2.83
Sub-Saharan Africa (IDA & IBRD countries),TSS,Nuclear,2000,4.09
Trinidad and Tobago,TTO,Nuclear,2000,0.0
Tunisia,TUN,Nuclear,2000,0.0
Turkiye,TUR,Nuclear,2000,0.0
Tuvalu,TUV,Nuclear,2000,0.0
Tanzania,TZA,Nuclear,2000,0.0
Uganda,UGA,Nuclear,2000,0.0
Ukraine,UKR,Nuclear,2000,45.16
Upper middle income,UMC,Nuclear,2000,5.23
Uruguay,URY,Nuclear,2000,0.0
United States,USA,Nuclear,2000,19.81
Uzbekistan,UZB,Nuclear,2000,0.0
St. Vincent and the Grenadines,VCT,Nuclear,2000,0.0
"Venezuela, RB",VEN,Nuclear,2000,0.0
British Virgin Islands,VGB,Nuclear,2000,0.0
Virgin Islands (U.S.),VIR,Nuclear,2000,0.0
Vietnam,VNM,Nuclear,2000,0.0
Vanuatu,VUT,Nuclear,2000,0.0
World,WLD,Nuclear,2000,16.7
Samoa,WSM,Nuclear,2000,0.0
Kosovo,XKX,Nuclear,2000,0.0
"Yemen, Rep.",YEM,Nuclear,2000,0.0
South Africa,ZAF,Nuclear,2000,6.26
Zambia,ZMB,Nuclear,2000,0.0
Zimbabwe,ZWE,Nuclear,2000,0.0
Aruba,ABW,Oil,2000,0.0
Africa Eastern and Southern,AFE,Oil,2000,2.02
Afghanistan,AFG,Oil,2000,0.0
Africa Western and Central,AFW,Oil,2000,5.28
Angola,AGO,Oil,2000,36.89
Albania,ALB,Oil,2000,3.85
Andorra,AND,Oil,2000,0.0
Arab World,ARB,Oil,2000,34.41
United Arab Emirates,ARE,Oil,2000,3.09
Argentina,ARG,Oil,2000,3.24
Armenia,ARM,Oil,2000,0.0
American Samoa,ASM,Oil,2000,0.0
Antigua and Barbuda,ATG,Oil,2000,0.0
Australia,AUS,Oil,2000,0.85
Austria,AUT,Oil,2000,2.84
Azerbaijan,AZE,Oil,2000,71.95
Burundi,BDI,Oil,2000,0.0
Belgium,BEL,Oil,2000,0.96
Benin,BEN,Oil,2000,97.62
Burkina Faso,BFA,Oil,2000,0.0
Bangladesh,BGD,Oil,2000,6.47
Bulgaria,BGR,Oil,2000,1.63
Bahrain,BHR,Oil,2000,0.0
"Bahamas, The",BHS,Oil,2000,0.0
Bosnia and Herzegovina,BIH,Oil,2000,0.46
Belarus,BLR,Oil,2000,6.57
Belize,BLZ,Oil,2000,0.0
Bermuda,BMU,Oil,2000,0.0
Bolivia,BOL,Oil,2000,0.77
Brazil,BRA,Oil,2000,4.35
Barbados,BRB,Oil,2000,0.0
Brunei Darussalam,BRN,Oil,2000,0.9
Bhutan,BTN,Oil,2000,0.0
Botswana,BWA,Oil,2000,2.37
Central African Republic,CAF,Oil,2000,0.0
Canada,CAN,Oil,2000,1.83
Central Europe and the Baltics,CEB,Oil,2000,3.18
Switzerland,CHE,Oil,2000,0.34
Channel Islands,CHI,Oil,2000,0.0
Chile,CHL,Oil,2000,4.25
China,CHN,Oil,2000,3.49
Cote d'Ivoire,CIV,Oil,2000,0.27
Cameroon,CMR,Oil,2000,1.09
"Congo, Dem. Rep.",COD,Oil,2000,0.05
"Congo, Rep.",COG,Oil,2000,0.34
Colombia,COL,Oil,2000,0.23
Comoros,COM,Oil,2000,0.0
Cabo Verde,CPV,Oil,2000,0.0
Costa Rica,CRI,Oil,2000,0.85
Caribbean small states,CSS,Oil,2000,0.0
Cuba,CUB,Oil,2000,57.06
Curacao,CUW,Oil,2000,0.0
Cayman Islands,CYM,Oil,2000,0.0
Cyprus,CYP,Oil,2000,100.0
Czech Republic,CZE,Oil,2000,0.51
Germany,DEU,Oil,2000,0.84
Djibouti,DJI,Oil,2000,0.0
Dominica,DMA,Oil,2000,0.0
Denmark,DNK,Oil,2000,1.94
Dominican Republic,DOM,Oil,2000,90.85
Algeria,DZA,Oil,2000,3.04
East Asia & Pacific (excluding high income),EAP,Oil,2000,5.52
Early-demographic dividend,EAR,Oil,2000,16.44
East Asia & Pacific,EAS,Oil,2000,9.18
Europe & Central Asia (excluding high income),ECA,Oil,2000,4.61
Europe & Central Asia,ECS,Oil,2000,5.22
Ecuador,ECU,Oil,2000,28.3
"Egypt, Arab Rep.",EGY,Oil,2000,28.55
Euro area,EMU,Oil,2000,7.37
Eritrea,ERI,Oil,2000,99.52
Spain,ESP,Oil,2000,10.22
Estonia,EST,Oil,2000,0.66
Ethiopia,ETH,Oil,2000,1.37
European Union,EUU,Oil,2000,6.43
Fragile and conflict affected situations,FCS,Oil,2000,32.28
Finland,FIN,Oil,2000,0.84
Fiji,FJI,Oil,2000,0.0
France,FRA,Oil,2000,1.34
Faroe Islands,FRO,Oil,2000,0.0
"Micronesia, Fed. Sts.",FSM,Oil,2000,0.0
Gabon,GAB,Oil,2000,20.53
United Kingdom,GBR,Oil,2000,2.26
Georgia,GEO,Oil,2000,3.69
Ghana,GHA,Oil,2000,0.0
Gibraltar,GIB,Oil,2000,100.0
Guinea,GIN,Oil,2000,0.0
"Gambia, The",GMB,Oil,2000,0.0
Guinea-Bissau,GNB,Oil,2000,0.0
Equatorial Guinea,GNQ,Oil,2000,0.0
Greece,GRC,Oil,2000,16.63
Grenada,GRD,Oil,2000,0.0
Greenland,GRL,Oil,2000,0.0
