Country Name,Country Code,Indicator Name_x,Indicator Code_x,Region,IncomeGroup,Year,Nuclear Production,Indicator Name_y,Indicator Code_y,Oil Production,Indicator Name,Indicator Code,Renewable Production,Total Production,Nuclear Proportion,Oil Proportion,Renewable Proportion
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2000,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2001,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2002,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2003,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2004,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2005,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2006,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2007,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2008,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2009,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2010,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Asia,Low income,2011,0.0,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,,,
